RecordID,Age,Gender,City
BCW750,25.0,Female,Tampere (Finland)
AXN611,34.0,Male,Berlin
BQR1109,33.0,Male,Munich
AQI424,42.0,Male,Den Haag
BUZ1221,44.0,Male,Munich
AUQ536,26.0,Male,Berlin
BES798,39.0,Female,Munich
BUY1220,35.0,Male,Munich
BTY1194,33.0,Male,Stuttgart
BAX699,33.0,Male,Düsseldorf 
AIO222,33.0,Male,Boeblingen
AXY622,35.0,Male,Frankfurt
ARI450,48.0,Male,Berlin
BDT773,32.0,Male,Berlin
BDG760,29.0,Female,Berlin
AUF525,37.0,Male,Berlin
BNN1027,28.0,Male,Berlin
ATB495,33.0,Male,Lübeck
BDL765,33.0,Male,Berlin
BGY856,37.0,Male,Munich
BEA780,30.0,Male,Berlin
AXW620,40.0,Male,Karlsruhe
BIX907,33.0,Male,Berlin
AOK374,,Male,Karlsruhe 
AZR667,34.0,Male,Munich
ART461,33.0,Female,Berlin
BHQ874,31.0,Male,Munich
BRY1142,43.0,Male,Munich
AMK322,38.0,Male,Stuttgart
AOQ380,34.0,Male,Berlin
AXP613,37.0,Male,Berlin
BGR849,42.0,Male,Berlin
ASB469,27.0,Male,Frankfurt
AZG656,33.0,Female,Berlin
ARA442,25.0,Male,Berlin
AZE654,29.0,Male,Berlin
BDX777,29.0,Male,Helsinki
BCY752,33.0,Male,Heidelberg
ATP509,36.0,Female,Berlin
BCJ737,25.0,Male,Berlin
BSD1147,34.0,Female,Berlin
AJP249,28.0,Male,Munich
BLK972,32.0,Male,Hamburg
AUJ529,,Male,Berlin
BIQ900,38.0,Male,Berlin
AAR17,41.0,Male,Berlin
BNY1038,29.0,Male,Berlin
AVI554,31.0,Male,Hamburg
AZC652,34.0,Female,Berlin
BBO716,26.0,Male,London
BRK1128,36.0,Male,Berlin
BHB859,27.0,Male,Berlin
BFC808,31.0,Male,Munich
BEE784,35.0,Male,Düsseldorf
AZF655,30.0,Male,Stockholm
BGZ857,31.0,Male,Amsterdam
BAC678,21.0,Female,Cologne
BVJ1231,,,Munich
BOQ1056,30.0,Male,Berlin
AJH241,31.0,Male,Munich
BSK1154,36.0,Male,Berlin
BOC1042,31.0,Male,Munich
AEK114,29.0,Male,Berlin
AHH189,31.0,Male,Mannheim 
AXD601,29.0,Female,Berlin
AFJ139,30.0,Male,Berlin
AUV541,28.0,Male,Berlin
BAE680,25.0,Female,Hamburg
AUS538,29.0,Male,Berlin
AJM246,34.0,Male,Berlin
BQP1107,27.0,Female,Berlin
BNH1021,30.0,Female,Munich
BPA1066,32.0,Female,Munich
ADG84,43.0,Male,Berlin
APH397,36.0,Male,Hamburg
BLT981,38.0,Male,Cologne
AMW334,29.0,Male,Munich
AGR173,40.0,Male,Munich
AGW178,36.0,Male,Berlin
AAT19,34.0,Male,Berlin
BMX1011,30.0,Male,Berlin
AQO430,27.0,Female,Berlin
ANR355,28.0,Male,Berlin
BAP691,38.0,Male,Berlin
AWZ597,38.0,Male,Berlin
AOJ373,28.0,Female,Mannheim
AYO638,35.0,Male,Berlin
BDF759,29.0,Male,Berlin
BOD1043,34.0,Female,Hildesheim 
ADH85,33.0,Male,Berlin
BPS1084,45.0,Male,Munich
AWW594,40.0,Male,Berlin
ATD497,38.0,Male,Berlin
ARP457,38.0,Male,Dresden
AYW646,28.0,Male,Cologne
BJD913,24.0,Male,Berlin
AWI580,29.0,Male,Berlin
AHS200,29.0,Male,Berlin
AAW22,25.0,Male,Berlin
BJO924,26.0,Male,Berlin
BTH1177,32.0,Male,Munich
ABI34,27.0,Male,Berlin
ARG448,27.0,Female,Munich
BOH1047,40.0,Female,Berlin
AYG630,40.0,Male,Cupertino
AWL583,30.0,Male,Berlin
AOD367,30.0,Male,Berlin
BQW1114,25.0,Male,Munich
AON377,27.0,Male,Berlin
AAB1,26.0,Male,Berlin
AAH7,24.0,Male,Berlin
AIX231,24.0,Female,Stuttgart
AKP275,40.0,Male,Munich
BDA754,24.0,Male,Berlin
AEM116,28.0,Female,Munich
BEC782,28.0,Male,Berlin
AGI164,31.0,Male,Berlin
BOV1061,34.0,Male,Berlin
AUT539,36.0,Male,Berlin
BGD835,30.0,Male,Hamburg
ALU306,34.0,Male,Berlin
BAJ685,27.0,Female,Berlin
AOZ389,31.0,Male,Dusseldorf
AZK660,32.0,Male,Amsterdam
ACQ68,48.0,Male,London
BIJ893,33.0,Male,Munich
ALL297,33.0,Male,Munich
BSL1155,27.0,Female,Lisbon
AJV255,39.0,Male,Munich
BLV983,28.0,Male,warsaw
BUD1199,37.0,Male,Munich
AZX673,51.0,Male,Berlin
ANF343,45.0,Male,Munich
AST487,42.0,Male,Berlin
BPX1089,31.0,Male,Hamburg
AAZ25,38.0,Male,Berlin
BLH969,35.0,Male,Berlin
BGV853,29.0,Female,Cologne
ARD445,27.0,Male,Prague
BHO872,31.0,Male,Munich
AUA520,27.0,Male,Berlin
ADU98,32.0,Male,Munich
BVI1230,35.0,Male,Karlsruhe
ASU488,40.0,Male,Berlin
BUV1217,34.0,Male,Prague
AQA416,30.0,Male,Munich
BKB937,23.0,Male,Dublin
AIZ233,53.0,Male,Stuttgart
BNS1032,28.0,Male,Munich
ALS304,35.0,Male,Berlin
AHV203,29.0,Male,Berlin
BIN897,34.0,Male,Munich
BSH1151,26.0,Male,Stockholm
ABB27,37.0,Male,Berlin
AYX647,28.0,Female,Berlin
BDO768,30.0,Male,Berlin
AWE576,24.0,Male,Munich
AAI8,29.0,Male,Berlin
BMK998,32.0,Male,Frankfurt
BEZ805,34.0,Female,Berlin
ATH501,30.0,Male,Berlin
BBL713,26.0,Female,Dusseldorf
ARX465,40.0,Male,Stuttgart
BSX1167,28.0,Male,Berlin
BGM844,28.0,Male,Frankfurt
ARL453,23.0,Male,Stockholm
BPU1086,35.0,Male,Munich
AIB209,26.0,Male,Berlin
AOG370,35.0,Male,Düsseldorf
BVK1232,52.0,Male,Stuttgart
BSN1157,25.0,Female,Berlin
BFD809,37.0,Male,Berlin
AVX569,28.0,Male,Berlin
BMR1005,32.0,Male,Munich
APQ406,35.0,Male,Helsinki
BVT1241,30.0,Male,Berlin
ACM64,32.0,Male,Munich
AAS18,27.0,Male,Berlin
AGX179,33.0,Female,Berlin
AJL245,30.0,Female,Frankfurt
AUY544,29.0,Male,Milan
AEW126,31.0,Male,Berlin
BOL1051,36.0,Male,Berlin
AUR537,32.0,Male,Berlin
BDP769,30.0,Male,Berlin
AIP223,30.0,Male,Berlin
AIL219,35.0,Male,Berlin
BOY1064,36.0,Female,Berlin
AHG188,26.0,Male,Berlin
BDY778,42.0,Male,Berlin
AHK192,35.0,Male,Munich
AOX387,24.0,Male,Munich
ARR459,38.0,Male,Berlin
AQX439,30.0,Male,Hamburg
AXL609,23.0,Male,Berlin
BCS746,33.0,Male,Berlin
BGT851,29.0,Male,Munich
BCH735,38.0,Male,Berlin
ABP41,49.0,Male,Berlin
BSI1152,39.0,Male,Berlin
AWN585,29.0,Male,Berlin
BBK712,29.0,Male,Barcelona
AGO170,31.0,Male,Berlin
ADZ103,37.0,Male,Berlin
AKT279,39.0,Male,Berlin
ALZ311,31.0,Male,Berlin
BOZ1065,31.0,Male,Berlin
ASN481,30.0,Male,Munich
AFS148,35.0,Male,Frankfurt
AZP665,32.0,Male,Berlin
BAN689,34.0,Male,Berlin
BCA728,43.0,Male,Berlin
BDB755,24.0,Female,Prague
BPK1076,24.0,Male,Moscow
BCK738,30.0,Male,Berlin
BUQ1212,30.0,Female,Berlin
ACX75,30.0,Male,Berlin
AGA156,33.0,Male,Munich
AZI658,31.0,Male,Berlin
BCR745,35.0,Male,Berlin
BEU800,37.0,Male,Munich
BAY700,32.0,Male,Berlin
ANM350,22.0,Male,Warsaw
API398,32.0,Female,Cologne
AFR147,31.0,Female,Munich
AUU540,26.0,Male,Berlin
AKY284,42.0,Male,Berlin
AJA234,25.0,Male,Munich
AMV333,31.0,Male,Moscow
BLN975,30.0,Male,Berlin
BCE732,36.0,Male,Munich
BRB1119,31.0,Male,Frankfurt
BIL895,39.0,Female,Stuttgart 
BEN793,32.0,Male,Berlin
ASZ493,35.0,Male,Munich
BAD679,25.0,Male,Berlin
ACR69,28.0,Male,Berlin
AGQ172,29.0,Male,Berlin
AQZ441,32.0,Male,Berlin
AMR329,33.0,Male,Hamburg
AYB625,33.0,Male,Berlin
BUM1208,36.0,Male,Stuttgart
AOB365,,Male,Berlin
ALF291,34.0,Male,Berlin
APT409,24.0,Male,Frankfurt
AWQ588,32.0,Male,Hamburg
AKW282,33.0,Female,Munich
BSA1144,33.0,Male,Berlin
AQQ432,27.0,Male,Berlin
BPC1068,36.0,Male,Prefer not to say
BQS1110,31.0,Male,Berlin
BBW724,32.0,Male,Munich
